pos.time,pos.x,pos.y,pos.z,rpy.r,rpy.p,rpy.y,vel.time,vel.x,vel.y,vel.z,rate_rpy.time,rate_rpy.r,rate_rpy.p,rate_rpy.y,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1719993343502452614,0.021710017696022987,-0.007649099454283714,0.020664231851696968,0.33502712845802307,0.6904894709587097,2.6450998783111572,1719993343495486671,0.01091363001614809,-0.0050042117945849895,-6.115243741078302e-05,1719993343503693751,-1.0,2.0,-3.0,1719993343500931251,0.0,0.0,0.0,0.0
1719993343512891238,0.02181745134294033,-0.007697432301938534,0.020663265138864517,0.3337210714817047,0.6929113864898682,2.646738290786743,1719993343507236344,0.010899340733885765,-0.00477791391313076,-5.187971328268759e-05,1719993343514020874,-1.0,1.0,0.0,1719993343511652734,0.0,0.0,0.0,0.0
1719993343523307825,0.02181442640721798,-0.007695597130805254,0.020650284364819527,0.3338170051574707,0.6921389698982239,2.6487200260162354,1719993343516969040,0.010994913056492805,-0.004558201879262924,-0.00010913673759205267,1719993343524284682,1.0,0.0,-5.0,1719993343521581448,0.0,0.0,0.0,0.0
1719993343531431392,0.021715056151151657,-0.007643690332770348,0.02064109407365322,0.33311760425567627,0.6914506554603577,2.6439526081085205,1719993343526405030,0.01107967272400856,-0.004478985909372568,-2.316757309017703e-05,1719993343532245035,0.0,0.0,2.0,1719993343530623674,0.0,0.0,0.0,0.0
1719993343542104739,0.0218241848051548,-0.0076877642422914505,0.02064082957804203,0.33332711458206177,0.6895774602890015,2.643261194229126,1719993343535112751,0.011040323413908482,-0.004443927202373743,-1.2659208550758194e-05,1719993343542901379,3.0,-3.0,0.0,1719993343541495002,0.0,0.0,0.0,0.0
1719993343553358243,0.02183721773326397,-0.007691458333283663,0.020654529333114624,0.33332711458206177,0.6895774602890015,2.643261194229126,1719993343546170943,0.010858768597245216,-0.004400860518217087,-3.50804730260279e-05,1719993343554287040,0.0,0.0,0.0,1719993343552401725,0.0,0.0,0.0,0.0
1719993343563099307,0.021803054958581924,-0.007665964774787426,0.020667212083935738,0.3330904543399811,0.6897943019866943,2.637227773666382,1719993343557367647,0.010692857205867767,-0.0042209504172205925,1.2341371075308416e-05,1719993343563978404,0.0,0.0,-2.0,1719993343560420825,0.0,0.0,0.0,0.0
1719993343573943139,0.021783534437417984,-0.007653476670384407,0.02067159302532673,0.3330904543399811,0.6897943019866943,2.637227773666382,1719993343568563464,0.010750229470431805,-0.003978752065449953,-1.7374050003127195e-05,1719993343574853084,2.0,1.0,0.0,1719993343571867237,0.0,0.0,0.0,0.0
1719993343583187329,0.021713387221097946,-0.007620588876307011,0.020675817504525185,0.3328787386417389,0.6911668181419373,2.6349403858184814,1719993343576688128,0.010750229470431805,-0.003978752065449953,-1.7374050003127195e-05,1719993343584719155,0.0,2.0,-2.0,1719993343582166347,0.0,0.0,0.0,0.0
1719993343592828871,0.021746322512626648,-0.007626355160027742,0.02067362330853939,0.33279699087142944,0.6923028230667114,2.631500244140625,1719993343588611500,0.010641463100910187,-0.003678280161693692,0.00019067646644543856,1719993343593917603,-2.0,-2.0,0.0,1719993343591548746,0.0,0.0,0.0,0.0
1719993343603058758,0.0217481330037117,-0.007619374897330999,0.020671185106039047,0.33300814032554626,0.689956784248352,2.629164934158325,1719993343596841385,0.010641463100910187,-0.003678280161693692,0.00019067646644543856,1719993343603942458,-1.0,2.0,-1.0,1719993343602001767,0.0,0.0,0.0,0.0
1719993343614939197,0.02174791507422924,-0.007620626129209995,0.020671823993325233,0.3316914141178131,0.6901344060897827,2.6272144317626953,1719993343606835382,0.010716629214584827,-0.0038403687067329884,0.0004894136218354106,1719993343615918711,0.0,1.0,0.0,1719993343613512608,0.0,0.0,0.0,0.0
1719993343622621760,0.02175939828157425,-0.007626830134540796,0.02068314142525196,0.3302291929721832,0.6908366680145264,2.6245830059051514,1719993343618380551,0.010716629214584827,-0.0038403687067329884,0.0004894136218354106,1719993343623684948,0.0,-1.0,-1.0,1719993343621278281,0.0,0.0,0.0,0.0
1719993343634077973,0.021755775436758995,-0.007625627797096968,0.02069607935845852,0.3292306661605835,0.6895474791526794,2.6217401027679443,1719993343625711277,0.010861843824386597,-0.003997623920440674,0.0004872947174590081,1719993343635736829,2.0,0.0,0.0,1719993343631635334,0.0,0.0,0.0,0.0
1719993343642211586,0.02169753797352314,-0.007606727071106434,0.02069997414946556,0.32942166924476624,0.6886685490608215,2.6186914443969727,1719993343638279922,0.010845579206943512,-0.004121443256735802,0.0005466467700898647,1719993343644098140,0.0,1.0,-1.0,1719993343640508744,0.0,0.0,0.0,0.0
1719993343653329351,0.021674975752830505,-0.007598710246384144,0.020701857283711433,0.32787516713142395,0.6889282464981079,2.6157143115997314,1719993343646223213,0.010450855828821659,-0.0039811162278056145,0.0005698839668184519,1719993343654822939,-1.0,-4.0,0.0,1719993343652537515,0.0,0.0,0.0,0.0
1719993343664423489,0.021667055785655975,-0.007598870433866978,0.0206979401409626,0.32766807079315186,0.6866765022277832,2.61217999458313,1719993343656844376,0.010444477200508118,-0.004049625713378191,0.0005578865529969335,1719993343666464635,-3.0,0.0,0.0,1719993343660215336,0.0,0.0,0.0,0.0
1719993343672509373,0.02174796164035797,-0.007662649732083082,0.020695121958851814,0.3286045491695404,0.6849923729896545,2.6149814128875732,1719993343668570574,0.010379177518188953,-0.004144495353102684,0.0005061589181423187,1719993343673728511,-2.0,-1.0,-2.0,1719993343670713052,0.0,0.0,0.0,0.0
1719993343682918209,0.021788889542222023,-0.007697683293372393,0.02068910002708435,0.3287736475467682,0.6831323504447937,2.617694854736328,1719993343677141403,0.010524485260248184,-0.004396713338792324,0.0003617064794525504,1719993343684360250,1.0,-3.0,-1.0,1719993343680623194,0.0,0.0,0.0,0.0
