pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1715751666200489157,-0.6695283651351929,-0.018991338089108467,0.026044698432087898,1715751666210858518,0.9991503953933716,0.0006790936458855867,-0.001395667903125286,0.04115850478410721,1715751666204124213,0.010273892432451248,0.002962097292765975,0.0014353550504893064,1715751666208822639,0.10742628574371338,0.19719775021076202,0.04512360319495201,1715751666205145498,0.0,0.0,0.0,0.0,1715751666202358096,-0.0015418555121868849,-0.0011926769511774182,-0.0030454271472990513,0.0,1715751666203320964,-0.43105027079582214,-0.981012225151062,-0.0,0.0,1715751666206581692,0.0,0.0,0.0,0.0
1715751666209769404,-0.6695297360420227,-0.018991772085428238,0.02604054845869541,1715751666219047070,0.9991522431373596,0.0006754178903065622,-0.0013893379364162683,0.0411144383251667,1715751666214097461,0.010468718595802784,0.002938286168500781,0.0013809760566800833,1715751666216777520,-0.06561599671840668,-0.20192165672779083,-0.05410471931099892,1715751666214983639,0.0,0.0,0.0,0.0,1715751666211644685,0.0004785031487699598,-0.0007306089391931891,-0.0007377618458122015,0.0,1715751666212809824,-0.4274481534957886,-0.9789718389511108,-0.0,0.0,1715751666215947625,0.0,0.0,0.0,0.0
1715751666217912839,-0.6694228649139404,-0.018962625414133072,0.026054030284285545,1715751666227596081,0.9991515874862671,0.0006751976325176656,-0.0013961241347715259,0.04112944006919861,1715751666222012306,0.01061984058469534,0.0028072448913007975,0.001254566479474306,1715751666225282029,0.08599043637514114,0.4677272439002991,0.09619781374931335,1715751666223119953,0.0,0.0,0.0,0.0,1715751666219919535,-0.00019880390027537942,0.004470735788345337,0.0005258286255411804,0.0,1715751666221030712,-0.42576324939727783,-0.9754562377929688,-0.0,0.0,1715751666224262953,0.0,0.0,0.0,0.0
1715751666226505586,-0.6694232225418091,-0.018965832889080048,0.026052270084619522,1715751666236150394,0.9991487860679626,0.0006781455012969673,-0.0013838260201737285,0.04119854047894478,1715751666231015355,0.010672319680452347,0.002653534756973386,0.001180838793516159,1715751666234206996,-0.0015638343757018447,-0.4178174138069153,-0.013971498236060143,1715751666232042743,0.0,0.0,0.0,0.0,1715751666228803592,0.0010378207080066204,-0.007725412957370281,0.00030067615443840623,0.0,1715751666229890117,-0.424979031085968,-0.9797230958938599,-0.0,0.0,1715751666233149656,0.0,0.0,0.0,0.0
1715751666235085186,-0.669525682926178,-0.01898680068552494,0.02604985423386097,1715751666244437341,0.9991503953933716,0.0006835057283751667,-0.0013997438363730907,0.04115859791636467,1715751666239175202,0.010594177059829235,0.0025671287439763546,0.001090620062313974,1715751666242625491,0.018838083371520042,-0.17250552773475647,-0.009962378069758415,1715751666240361299,0.0,0.0,0.0,0.0,1715751666236999673,0.0005438904627226293,0.0037553925067186356,0.0019830898381769657,0.0,1715751666238126760,-0.42709264159202576,-0.9708190560340881,-0.0,0.0,1715751666241277586,0.0,0.0,0.0,0.0
1715751666243192979,-0.669418215751648,-0.01896059326827526,0.026061637327075005,1715751666252706574,0.9991500377655029,0.0006809412152506411,-0.0014054891653358936,0.041167110204696655,1715751666246882061,0.010623199865221977,0.0025911813136190176,0.001233508693985641,1715751666249867756,0.09250453114509583,0.09944925457239151,-0.10959354043006897,1715751666247808847,0.0,0.0,0.0,0.0,1715751666245103064,-0.0009208646370097995,0.0018149277893826365,0.0003652298473753035,0.0,1715751666245926337,-0.4311733841896057,-0.9833267331123352,-0.0,0.0,1715751666248562851,0.0,0.0,0.0,0.0
1715751666251447752,-0.6694193482398987,-0.018963942304253578,0.026066618040204048,1715751666260819851,0.999149739742279,0.0006865658215247095,-0.0014224533224478364,0.04117484390735626,1715751666255565820,0.010561509989202023,0.0026890349108725786,0.0012099678860977292,1715751666258677127,0.13375161588191986,-0.2369319498538971,0.025527218356728554,1715751666256566788,0.0,0.0,0.0,0.0,1715751666253449116,-0.0013325824402272701,0.0031992432195693254,0.0002070421469397843,0.0,1715751666254640667,-0.4294072389602661,-0.9875733256340027,-0.0,0.0,1715751666257590333,0.0,0.0,0.0,0.0
1715751666259788953,-0.6694244742393494,-0.018969973549246788,0.0260580163449049,1715751666267907769,0.9991493225097656,0.0006718761869706213,-0.001427194569259882,0.04118362069129944,1715751666263810130,0.01051743421703577,0.0027964147739112377,0.0010974715696647763,1715751666266037713,0.018085820600390434,-0.14079202711582184,-0.2253953367471695,1715751666264286274,0.0,0.0,0.0,0.0,1715751666261701566,-0.0041004992090165615,-0.002437187358736992,0.0015367342857643962,0.0,1715751666262726462,-0.4318349361419678,-0.9992341995239258,-0.0,0.0,1715751666265207035,0.0,0.0,0.0,0.0
1715751666266916914,-0.6694275736808777,-0.01896684244275093,0.02605614811182022,1715751666277011422,0.9991487264633179,0.0006818905239924788,-0.0014191016089171171,0.04119928553700447,1715751666271491217,0.010552345775067806,0.002959643956273794,0.001040804199874401,1715751666274761512,-0.002781169954687357,-0.03050014190375805,0.005283322650939226,1715751666272488994,0.0,0.0,0.0,0.0,1715751666268951423,0.0031248426530510187,-0.0011910190805792809,-0.00018665313837118447,0.0,1715751666270527555,-0.42145395278930664,-1.0012623071670532,-0.0,0.0,1715751666273315717,0.0,0.0,0.0,0.0
1715751666276061664,-0.6694230437278748,-0.018962636590003967,0.026053396984934807,1715751666286603185,0.9991483688354492,0.0006802476709708571,-0.0014184581814333797,0.04120804741978645,1715751666281283690,0.010674994438886642,0.0030703663360327482,0.0011711507104337215,1715751666283790380,0.06328004598617554,-0.2547873854637146,-0.1276664435863495,1715751666281312093,0.0,0.0,0.0,0.0,1715751666278005585,-0.0005471202312037349,-0.0017646353226155043,-0.00048075077938847244,0.0,1715751666278803411,-0.4286670386791229,-0.9951828718185425,-0.0,0.0,1715751666282787161,0.0,0.0,0.0,0.0
1715751666285557977,-0.6694163680076599,-0.018957115709781647,0.02605399489402771,1715751666296279204,0.9991480708122253,0.0006747005973011255,-0.0014225945342332125,0.041214268654584885,1715751666289386170,0.010708085261285305,0.003096672473475337,0.0012614191509783268,1715751666293800731,-0.09114477038383484,0.3895292282104492,0.058484312146902084,1715751666291096488,0.0,0.0,0.0,0.0,1715751666287493071,0.00010197688970947638,0.0029986731242388487,-0.001786557724699378,0.0,1715751666288423243,-0.4287134110927582,-0.9964593052864075,-0.0,0.0,1715751666292835741,0.0,0.0,0.0,0.0
1715751666294988302,-0.6694154739379883,-0.018958555534482002,0.02605900913476944,1715751666307772586,0.999147891998291,0.0006743505946360528,-0.00141591124702245,0.041218336671590805,1715751666300143769,0.010942480526864529,0.003165672067552805,0.0013738784473389387,1715751666305110214,-0.04166179895401001,0.1364729404449463,0.008618886582553387,1715751666302382606,0.0,0.0,0.0,0.0,1715751666297556331,0.0005439358064904809,-0.0006886039045639336,-0.003134379396215081,0.0,1715751666298852156,-0.42360883951187134,-0.9973872303962708,-0.0,0.0,1715751666303849868,0.0,0.0,0.0,0.0
1715751666306407319,-0.6694201231002808,-0.018959427252411842,0.02606283314526081,1715751666320198005,0.9991475343704224,0.0006785097648389637,-0.0014064988354220986,0.04122848063707352,1715751666313362171,0.010959816165268421,0.003230164060369134,0.0012373743811622262,1715751666317811463,-0.07037227600812912,-0.15203294157981873,0.04361465573310852,1715751666314892172,0.0,0.0,0.0,0.0,1715751666309339266,-0.00013041342026554048,-0.001709837350063026,-0.0011304308427497745,0.0,1715751666311917076,-0.4235536754131317,-0.9927831888198853,-0.0,0.0,1715751666316307174,0.0,0.0,0.0,0.0
1715751666318890853,-0.6694207191467285,-0.01895764097571373,0.026059873402118683,1715751666331635404,0.9991471171379089,0.0006853693630546331,-0.0014221047749742866,0.04123760387301445,1715751666325278381,0.010923070833086967,0.003252426628023386,0.001205501495860517,1715751666329126110,0.11745747178792953,0.08280687034130096,0.19635871052742004,1715751666326611160,0.0,0.0,0.0,0.0,1715751666321308870,0.0007083759410306811,0.004312822595238686,-0.0003554201393853873,0.0,1715751666323667630,-0.42667073011398315,-0.986433207988739,-0.0,0.0,1715751666327881428,0.0,0.0,0.0,0.0
1715751666330392952,-0.6694236993789673,-0.018957853317260742,0.026051346212625504,1715751666344293242,0.9991467595100403,0.000680718629155308,-0.0014225003542378545,0.04124658927321434,1715751666336395908,0.010893787257373333,0.0032963112462311983,0.0012759687379002571,1715751666340581217,0.07811551541090012,-0.048047713935375214,-0.06258479505777359,1715751666337395757,0.0,0.0,0.0,0.0,1715751666333688466,-0.002662625629454851,-0.0013656452065333724,-0.0011300271144136786,0.0,1715751666335486493,-0.4309358596801758,-0.9973631501197815,-0.0,0.0,1715751666339359258,0.0,0.0,0.0,0.0
1715751666341475092,-0.6694260239601135,-0.018952401354908943,0.02605411224067211,1715751666353824774,0.9991466403007507,0.0006881087319925427,-0.0014271887484937906,0.04124917834997177,1715751666347643009,0.010957111604511738,0.0033105455804616213,0.0013909729896113276,1715751666350791493,-0.10863479971885681,-0.17240110039710999,-0.09712991863489151,1715751666348642404,0.0,0.0,0.0,0.0,1715751666345463204,0.0014642337337136269,-0.0006468018982559443,-0.0017171705840155482,0.0,1715751666346584980,-0.42771756649017334,-0.9975070357322693,-0.0,0.0,1715751666349427534,0.0,0.0,0.0,0.0
