pos.time,pos.x,pos.y,pos.z,quat.time,quat.w,quat.x,quat.y,quat.z,vel.time,vel.x,vel.y,vel.z,omega.time,omega.r,omega.p,omega.y,command_rpy.time,command_rpy.cmd_r,command_rpy.cmd_p,command_rpy.cmd_y,command_rpy.cmd_thrust,real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust,motor.time,motor.m1,motor.m2,motor.m3,motor.m4
1718613840550765439,-0.0797017514705658,-0.24608656764030457,0.020575571805238724,1718613840551890078,0.9857215285301208,-0.009223772212862968,0.0021023431327193975,0.16811180114746094,1718613840547800272,0.011349252425134182,-0.005054126493632793,-0.00024185799702536315,1718613840549755470,-0.12656444311141968,0.06840822100639343,0.009712859988212585,1718613840546971454,0.0,0.0,0.0,0.0,1718613840544784062,-0.001996598206460476,-0.005638467147946358,0.0034910449758172035,0.0,1718613840545303898,6.008854389190674,2.471662998199463,-3502.62939453125,0.0,1718613840548829012,0.0,0.0,0.0,0.0
1718613840560609152,-0.07971534878015518,-0.24607926607131958,0.020571216940879822,1718613840561410091,0.9857194423675537,-0.009228113107383251,0.0021024993620812893,0.1681237816810608,1718613840557896116,0.010934661142528057,-0.005128602962940931,-0.0002903453423641622,1718613840559702330,-0.051918696612119675,0.24621416628360748,-0.024888314306735992,1718613840556832654,0.0,0.0,0.0,0.0,1718613840552799544,0.0006203358643688262,0.001899201888591051,0.0033404240384697914,0.0,1718613840555014776,6.014730930328369,2.493469476699829,-3502.99853515625,0.0,1718613840558795747,0.0,0.0,0.0,0.0
1718613840570726782,-0.07972132414579391,-0.24607688188552856,0.020574910566210747,1718613840572169046,0.9857191443443298,-0.009235712699592113,0.0021254364401102066,0.1681249886751175,1718613840567771886,0.010375536046922207,-0.005056903697550297,-0.0002942426363006234,1718613840569610369,0.11104143410921097,-0.01769678294658661,-0.15471108257770538,1718613840566717920,0.0,0.0,0.0,0.0,1718613840562523256,-0.0019475648878142238,-0.007242416497319937,0.00011902432015631348,0.0,1718613840564364850,6.017629146575928,2.4941508769989014,-3503.25048828125,0.0,1718613840568721659,0.0,0.0,0.0,0.0
1718613840581984852,-0.07977867126464844,-0.24605180323123932,0.020576462149620056,1718613840594626742,0.9856917858123779,-0.00920616090297699,0.002163773635402322,0.1682865023612976,1718613840578791880,0.010375536046922207,-0.005056903697550297,-0.0002942426363006234,1718613840581035086,0.017006048932671547,0.036141250282526016,-0.14801165461540222,1718613840577659703,0.0,0.0,0.0,0.0,1718613840573595314,0.0026377092581242323,0.002855259459465742,-0.0029329643584787846,0.0,1718613840575519710,6.0201287269592285,2.510598659515381,-3503.271728515625,0.0,1718613840579954496,0.0,0.0,0.0,0.0
1718613840593601589,-0.07969707250595093,-0.24609164893627167,0.020580701529979706,1718613840606439386,0.9856932759284973,-0.009191741235554218,0.0021805204451084137,0.16827835142612457,1718613840590445913,0.011095797643065453,-0.005107139237225056,-2.9043707399978302e-05,1718613840592727616,0.06943632662296295,0.0369158573448658,-0.12313617020845413,1718613840589289854,0.0,0.0,0.0,0.0,1718613840583475844,-0.0005349493003450334,0.0059179626405239105,-0.0003581936762202531,0.0,1718613840586870064,6.006680011749268,2.525725841522217,-3506.733642578125,0.0,1718613840591700466,0.0,0.0,0.0,0.0
1718613840604694400,-0.07965492457151413,-0.24611453711986542,0.02057834528386593,1718613840616291307,0.9856916069984436,-0.009197287261486053,0.0021767904981970787,0.16828787326812744,1718613840601496945,0.011452440172433853,-0.0050880759954452515,-8.996270480565727e-05,1718613840603742968,-0.00014460949751082808,0.178102046251297,0.1403016746044159,1718613840600706697,0.0,0.0,0.0,0.0,1718613840595790555,0.0004106254200451076,0.00046377608668990433,-0.004258410073816776,0.0,1718613840598755867,5.995229244232178,2.534170389175415,-3506.665771484375,0.0,1718613840602896569,0.0,0.0,0.0,0.0
1718613840615444128,-0.07969018816947937,-0.24609921872615814,0.0205755103379488,1718613840625520641,0.9856916069984436,-0.009192444384098053,0.0021603000350296497,0.16828814148902893,1718613840612521553,0.0113123320043087,-0.004972611088305712,-9.136033622780815e-05,1718613840614417016,0.05732076242566109,0.008544230833649635,0.01938740909099579,1718613840611847403,0.0,0.0,0.0,0.0,1718613840607789297,0.00038606810267083347,7.684750016778708e-05,0.00037956429878249764,0.0,1718613840609472734,5.983528137207031,2.5438125133514404,-3506.493408203125,0.0,1718613840613604402,0.0,0.0,0.0,0.0
1718613840624632256,-0.07970737665891647,-0.24608522653579712,0.020577769726514816,1718613840634947863,0.9856902956962585,-0.0091923912987113,0.002155531430616975,0.16829600930213928,1718613840622047157,0.011401238851249218,-0.0050744651816785336,2.4850061890901998e-05,1718613840623784939,0.03206497058272362,0.019933762028813362,0.3061654567718506,1718613840621110739,0.0,0.0,0.0,0.0,1718613840617408791,0.001028418424539268,0.0035152044147253036,-0.003157258266583085,0.0,1718613840619258123,5.987698078155518,2.5419819355010986,-3506.693115234375,0.0,1718613840622919590,0.0,0.0,0.0,0.0
1718613840634026695,-0.07971905916929245,-0.24608199298381805,0.020575230941176414,1718613840644990059,0.9856887459754944,-0.009208851493895054,0.0021790440659970045,0.1683036834001541,1718613840631301625,0.011390194296836853,-0.005046457517892122,-4.080920189153403e-05,1718613840633159032,-0.10818397253751755,0.31415560841560364,0.15807999670505524,1718613840630440076,0.0,0.0,0.0,0.0,1718613840626468080,-0.003272643778473139,-0.00046080307220108807,-0.0019648277666419744,0.0,1718613840628480557,5.986321449279785,2.5302352905273438,-3506.701904296875,0.0,1718613840632238367,0.0,0.0,0.0,0.0
1718613840644069107,-0.07971908152103424,-0.24607424437999725,0.020573250949382782,1718613840655621805,0.9856896996498108,-0.0091974176466465,0.0021758442744612694,0.16829901933670044,1718613840641228775,0.011545011773705482,-0.004966941196471453,-0.0001357264118269086,1718613840642985845,0.09496758133172989,-0.022427108138799667,-0.1409737765789032,1718613840640193332,0.0,0.0,0.0,0.0,1718613840635906431,-0.0030255671590566635,-0.007200811989605427,0.0011851944727823138,0.0,1718613840637960886,5.986818313598633,2.5270421504974365,-3506.8681640625,0.0,1718613840642122560,0.0,0.0,0.0,0.0
1718613840654610333,-0.07971885800361633,-0.24608056247234344,0.020569324493408203,1718613840666709515,0.9856880307197571,-0.009203859604895115,0.0021987559739500284,0.16830796003341675,1718613840651551144,0.011985152028501034,-0.0052503361366689205,-6.605568341910839e-05,1718613840653509805,-0.13878659904003143,0.39325809478759766,0.09079544246196747,1718613840650525036,0.0,0.0,0.0,0.0,1718613840646032128,0.001615423709154129,0.0027251201681792736,-0.0030189009848982096,0.0,1718613840648709729,5.995242595672607,2.5449461936950684,-3507.025146484375,0.0,1718613840652862721,0.0,0.0,0.0,0.0
1718613840665914080,-0.07972068339586258,-0.24607744812965393,0.02057117596268654,1718613840681001076,0.9856856465339661,-0.009200834669172764,0.002198313595727086,0.1683223843574524,1718613840662849210,0.012114868499338627,-0.005250099115073681,6.836980901425704e-05,1718613840664905005,0.07896772772073746,-0.06874536722898483,0.12457285076379776,1718613840661345189,0.0,0.0,0.0,0.0,1718613840656414129,-0.001068615005351603,-0.003958078566938639,0.004278479143977165,0.0,1718613840659628135,5.98786735534668,2.5414228439331055,-3506.927978515625,0.0,1718613840663921616,0.0,0.0,0.0,0.0
